id,default_manufacturer_id,default_retail_store_id,sku,name,category,default_wholesale_price,notes,created_at
218acf8e-03d0-4cfb-afc8-1132a3f20c71,,,Philly_Postcard_Spring,Philadephia Four Season Postcard spring,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",3.99,"The Philadelphia Four Seasons Card is a celebration of the city through time, capturing its changing atmosphere across the year. Each scene reflects a distinct moment and place: Fairmount Water Works in spring , where the riverfront awakens with fresh greenery; Independence Hall in summer , glowing under warm light and history; Benjamin Franklin Parkway in autumn , framed by golden foliage and cultural life; and Chinatown in winter , alive with lanterns, warmth, and festive energy.",2026-05-29 15:02:40+00:00
a2cb0a6d-6ab6-41b7-be0a-538951c61c6b,,,Philly_Postcard_Summer,Philadephia Four Season Postcard summer,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",3.99,"The Philadelphia Four Seasons Card is a celebration of the city through time, capturing its changing atmosphere across the year. Each scene reflects a distinct moment and place: Fairmount Water Works in spring , where the riverfront awakens with fresh greenery; Independence Hall in summer , glowing under warm light and history; Benjamin Franklin Parkway in autumn , framed by golden foliage and cultural life; and Chinatown in winter , alive with lanterns, warmth, and festive energy.",2026-05-29 15:02:40+00:00
c6444a5d-c62b-41b0-af93-805ff8cc709c,,,Philly_Postcard_Autumn,Philadephia Four Season Postcard autumn,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",3.99,"The Philadelphia Four Seasons Card is a celebration of the city through time, capturing its changing atmosphere across the year. Each scene reflects a distinct moment and place: Fairmount Water Works in spring , where the riverfront awakens with fresh greenery; Independence Hall in summer , glowing under warm light and history; Benjamin Franklin Parkway in autumn , framed by golden foliage and cultural life; and Chinatown in winter , alive with lanterns, warmth, and festive energy.",2026-05-29 15:02:40+00:00
5cd581bb-1115-40dc-83ce-a2674b28e829,,,Philly_Postcard_Winter,Philadephia Four Season Postcard winter,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Posters",3.99,"The Philadelphia Four Seasons Card is a celebration of the city through time, capturing its changing atmosphere across the year. Each scene reflects a distinct moment and place: Fairmount Water Works in spring , where the riverfront awakens with fresh greenery; Independence Hall in summer , glowing under warm light and history; Benjamin Franklin Parkway in autumn , framed by golden foliage and cultural life; and Chinatown in winter , alive with lanterns, warmth, and festive energy.",2026-05-29 15:02:40+00:00
8f600ea7-dfa7-4b37-a33f-cc9a81e43c7e,,,CHI-BTM-TKT-BLU,Chicago Boat Ticket floating Magnet blue,Home & Garden > Decor > Refrigerator Magnets,14.69,"This Chicago Magnet is inspired by the city’s vibrant waterfront and iconic skyline. Designed like a vintage travel ticket, it captures the golden glow of Chicago at sunset, with sailboats drifting across Lake Michigan and the skyline rising behind the waves. The Ferris wheel and harbor scene evoke the energy of Navy Pier, while the painterly style gives the magnet a nostalgic travel- poster feel— like a small keepsake from a classic Chicago boat tour.",2026-05-29 15:02:40+00:00
7b455ddd-949f-40fd-8fcd-a48986cc0875,,,DC-CHERRY-MAG,Washington DC cherry magnet,Home & Garden > Decor > Refrigerator Magnets,16.99,"This Washington D.C. Magnet captures the beauty of spring in the nation’s capital, framed by delicate cherry blossoms in full bloom. Featuring iconic landmarks including the Jefferson Memorial, the Capitol, and the Washington Monument, the design celebrates the city’s timeless architecture and seasonal charm. With layered details and a soft, luminous finish, it recreates the feeling of standing beneath blooming sakura along the Tidal Basin—a small keepsake of Washington’s most magical season.",2026-05-29 15:02:40+00:00
e1642030-83f4-4eec-bee1-dcc9920a1ca9,,,SEA-STAINGLASS-BMK,Seattle Stained-Glass Bookmark,Office Supplies > Book Accessories > Bookmarks,14.69,"Inspired by the stained-glass windows of Suzzallo Library, this Seattle bookmark frames the city like a glowing cathedral panel. Its layered illustration spotlights the skyline, waterfront, and ferry in crisp, translucent color, capturing the drama of a sunset sky. Lightweight and elegant, it adds a little extra wonder to your reading—bringing a soft Seattle glow to every page.",2026-05-29 15:02:40+00:00
71a6e16b-9f99-439e-a07b-63eeced42ec6,,,LOSANGLES-MAGNET,Los Angeles Santa Monica Sunset Magnet,Home & Garden > Decor > Refrigerator Magnets,16.99,"A new Santa Monica sunset magnet, designed by a USC alumnus in LA. We used an exclusive “gravity sand” effect to recreate the coast at golden hour—blue ocean below, pink sky above—so the colors gently flow when you tilt it. A tiny piece of LA you can keep on your fridge, and a perfect gift for anyone who misses the West Coast glow.",2026-05-29 15:02:40+00:00
a8ab831c-d663-40a4-bae1-ae6fba0f1320,,,SF-LOMBARD-MAG,San Francisco Lombard Street Magnet,Home & Garden > Decor > Refrigerator Magnets,16.99,"The new San Francisco refrigerator magnet has officially launched! This design celebrates the city’s most iconic sights: vibrant hydrangeas lining Lombard Street, a classic cable car gliding through the curves, the Golden Gate Bridge rising in the distance, and the shimmering San Francisco skyline. Inspired by the unforgettable view of Lombard Street from above, the magnet highlights its unique winding shape, framed with rich colors and detailed enamel. Even with a few production adjustments—like smoothing the street for the cable car—the final piece remains a charming, lively tribute to one of San Francisco’s most memorable places.",2026-05-29 15:02:40+00:00
139f3269-4300-43ee-8232-58922a5a1850,,,SEA-WINTER-GOLD,Seattle Winter Christmas Refrigerator Magnet gold,Home & Garden > Decor > Refrigerator Magnets,16.99,"As a designer, I wanted this Seattle Winter Magnet to feel like a tiny holiday celebration you can hold in your hand. I captured the city’s festive spirit through the Space Needle, the Public Market Center sign, and downtown’s glowing skyline—iconic symbols wrapped in winter magic. A cheerful snowman and decorated evergreens bring playfulness and warmth, while golden bells and holly accents add seasonal charm. My favorite element is the snow-globe effect: shimmering “snow” that drifts with every movement, recreating those rare, magical snowy moments in Seattle. Designed here and crafted with care, this magnet is a joyful tribute to Seattle’s holiday season. This version has a limited yellow design with a bold black edge , available in only 80 pieces —a small seasonal collectible to cherish or gift before it’s gone. Holiday shipping costs are up — but we’ve got you covered! Order 4+ magnets and shipping is on us .",2026-05-29 15:02:40+00:00
